nodeID,nodeLabel,latitude,longitude
1872,MAR.10_1,34.91613388050013,-2.113355475282581
1873,MAR.11_1,33.70139885050011,-5.855132309362276
1874,MAR.12_1,30.48962307000005,-9.368344851698373
1875,MAR.13_1,32.01197242800012,-6.508663520030803
1876,MAR.14_1,35.183120728000176,-4.791320784725111
1877,MAR.15_1,35.077862123500125,-4.301846024649794
1878,MAR.1_1,33.30613517750007,-7.12901479826365
1879,MAR.2_1,33.28967094450013,-8.177656740231953
1880,MAR.3_1,33.39444160400009,-4.2688647144493705
1881,MAR.4_1,34.31888580400013,-6.375284587714217
1882,MAR.5_1,33.468275070000146,-7.621142105414478
1883,MAR.6_1,28.473718643000097,-9.83140415553898
1884,MAR.7_1,27.934853553500066,-12.054466236907128
1885,MAR.8_1,31.61581897800008,-7.316666348139249
1886,MAR.9_1,33.59940147350008,-5.711661948109789
