topology,n,avg_k,ba_m,rule,type,mixed,steps,tailfrac,seed,mean_p,std_p,mean_q,std_q,accept_rate
ER,300,4.0,,natural_selection,A,False,20000,0.1,42,0.45072156201699404,0.06241792205063892,0.45072156201699404,0.06241792205063892,0.9950083194675541
ER,300,6.0,,natural_selection,A,False,20000,0.1,42,0.3143600237263405,0.005496262582337584,0.3143600237263405,0.005496262582337584,1.0
ER,300,8.0,,natural_selection,A,False,20000,0.1,42,0.3957858467912545,0.0,0.3957858467912545,0.0,1.0
BA,300,,2,natural_selection,A,False,20000,0.1,42,0.03246161491998984,0.021193615270123176,0.03246161491998984,0.021193615270123176,0.9630872483221476
BA,300,,3,natural_selection,A,False,20000,0.1,42,0.08693883262941617,1.3877787807814457e-17,0.08693883262941617,1.3877787807814457e-17,1.0
BA,300,,4,natural_selection,A,False,20000,0.1,42,0.42192181968527054,1.1102230246251565e-16,0.42192181968527054,1.1102230246251565e-16,1.0
ER,500,4.0,,natural_selection,A,False,20000,0.1,42,0.42472202030705614,0.03589717185805606,0.42472202030705614,0.03589717185805606,0.9963692946058091
ER,500,6.0,,natural_selection,A,False,20000,0.1,42,0.44313074505345706,1.1102230246251565e-16,0.44313074505345706,1.1102230246251565e-16,1.0
ER,500,8.0,,natural_selection,A,False,20000,0.1,42,0.44861354783313173,1.6653345369377348e-16,0.44861354783313173,1.6653345369377348e-16,1.0
BA,500,,2,natural_selection,A,False,20000,0.1,42,0.029600336622293263,0.018481864110688064,0.029600336622293263,0.018481864110688064,0.9703815261044176
BA,500,,3,natural_selection,A,False,20000,0.1,42,0.6766994874229113,0.0,0.6766994874229113,0.0,1.0
BA,500,,4,natural_selection,A,False,20000,0.1,42,0.6394267984578837,0.0,0.6394267984578837,0.0,1.0
ER,1000,4.0,,natural_selection,A,False,20000,0.1,42,0.4587755111881955,0.042709133471518605,0.4587755111881955,0.042709133471518605,1.0
ER,1000,6.0,,natural_selection,A,False,20000,0.1,42,0.422951442804105,0.018523367373409292,0.422951442804105,0.018523367373409292,1.0
ER,1000,8.0,,natural_selection,A,False,20000,0.1,42,0.4746744368230535,1.6653345369377348e-16,0.4746744368230535,1.6653345369377348e-16,1.0
BA,1000,,2,natural_selection,A,False,20000,0.1,42,0.036402867782038786,0.036360688534594246,0.036402867782038786,0.036360688534594246,0.9516533066132264
BA,1000,,3,natural_selection,A,False,20000,0.1,42,0.08927510692019612,0.026015649476001726,0.08927510692019612,0.026015649476001726,0.9946506185222334
BA,1000,,4,natural_selection,A,False,20000,0.1,42,0.4219218196852703,1.1102230246251565e-16,0.4219218196852703,1.1102230246251565e-16,1.0
EMP,34,4.529411764705882,,natural_selection,A,False,20000,0.1,42,0.3832194050570061,0.2415546470185201,0.3832194050570061,0.2415546470185201,0.8896103896103896
