country_ISO3,nodes,edges,coverage_pct
GBR,179,32041,
ITA,110,12100,
FRA,101,10201,
TUR,81,6561,
PHL,81,6561,
THA,77,5929,
POL,73,5329,
VNM,63,3969,
ESP,59,3481,
UGA,57,3249,
GRC,52,2704,
DZA,48,2304,
KEN,47,2209,
JPN,47,2209,
BEL,44,1936,
ROU,42,1764,
NLD,40,1600,
NGA,37,1369,
MDA,37,1369,
AUT,35,1225,
IDN,33,1089,
MEX,32,1024,
DOM,32,1024,
TZA,30,900,
BGR,28,784,
CAN,28,784,
EGY,27,729,
BRA,27,729,
MWI,27,729,
PER,26,676,
CHE,26,676,
SRB,25,625,
KHM,25,625,
PRT,25,625,
ARG,24,576,
TUN,24,576,
ECU,24,576,
UKR,23,529,
LKA,22,484,
MNG,22,484,
LBY,22,484,
PNG,22,484,
GTM,22,484,
TCD,22,484,
SWE,21,441,
HRV,21,441,
HUN,20,400,
FIN,19,361,
PRY,18,324,
HND,18,324,
NIC,18,324,
NOR,18,324,
AGO,18,324,
LAO,18,324,
KOR,17,289,
BDI,17,289,
MYS,16,256,
CHL,15,225,
BWA,15,225,
TTO,15,225,
MMR,15,225,
NZL,15,225,
MAR,15,225,
SEN,14,196,
KAZ,14,196,
LBR,14,196,
CIV,14,196,
UZB,14,196,
SLV,14,196,
CZE,14,196,
JAM,14,196,
CAF,14,196,
IND,13,169,
SAU,13,169,
MRT,13,169,
BFA,13,169,
NAM,13,169,
ALB,12,144,
COG,12,144,
PAN,12,144,
GEO,12,144,
BEN,12,144,
SVN,12,144,
JOR,12,144,
ETH,11,121,
MOZ,11,121,
DNK,11,121,
OMN,11,121,
BGD,11,121,
ARM,11,121,
LSO,10,100,
ZMB,10,100,
HTI,10,100,
CMR,10,100,
AZE,10,100,
ZWE,10,100,
TLS,10,100,
MUS,10,100,
LTU,10,100,
GNB,9,81,
